Id,Traffic Volume
0,409.242268
1,899.4935065
2,4565.215385
3,5234.8351
4,4664.438356
5,1145.210162
6,5901.569211
7,4505.514843
8,5234.8351
9,5280.031532
10,2848.307692
11,3400.446581
12,351.34375
13,4505.514843
14,4322.605678
15,4653.421471
16,3817.511628
17,334.1396648
18,5234.8351
19,374.5569044
20,4505.514843
21,1145.210162
22,374.5569044
23,4505.514843
24,4858.03913
25,3594.80198
26,326.0529801
27,2176
28,2786.16804
29,4858.03913
30,1438.375
31,6207.254453
32,2674.132353
33,4920.30712
34,4798.719858
35,6341.708713
36,5353.007353
37,5800.409091
38,5594.149406
39,5589.138943
40,4920.30712
41,363.8624788
42,6207.254453
43,3358.111111
44,4362.58156
45,644.974359
46,4057.366337
47,5077.384488
48,2232.083333
49,4505.514843
50,1956.662162
51,2670.088
52,390.8831169
53,374.5569044
54,4653.421471
55,4920.30712
56,950
57,351.34375
58,1909.003155
59,5589.138943
60,3400.446581
61,283.5187713
62,3629.441176
63,334.1396648
64,1204.306306
65,2732.333333
66,804.5625
67,564.8857143
68,868.9084967
69,5077.384488
70,5674.617577
71,4920.30712
72,2969.605263
73,2786.16804
74,2691.690574
75,340.3666667
76,3491
77,4920.30712
78,2670.088
79,5901.569211
80,782.1666667
81,5172.256579
82,310.8885017
83,3541.409091
84,374.5569044
85,5901.569211
86,4460.043478
87,4280.132353
88,2985.275862
89,4920.30712
90,2344.014599
91,1975.162162
92,2674.132353
93,4505.514843
94,2960.981618
95,363.8624788
96,5234.8351
97,1076.603774
98,4858.03913
99,5217.801205
100,4913.630631
101,4664.438356
102,334.1396648
103,4334.430622
104,4310.486137
105,2691.690574
106,3132.621212
107,4664.438356
108,5589.138943
109,6341.708713
110,410.64
111,4058.598131
112,378
113,4362.58156
114,2809
115,5077.384488
116,2993.233333
117,755
118,2506
119,2651.384615
120,6341.708713
121,4460.043478
122,6207.254453
123,2993.233333
124,2670.088
125,6341.708713
126,2765.206349
127,5077.384488
128,3431.836735
129,1149.870968
130,4486.732919
131,5589.138943
132,4653.421471
133,5901.569211
134,5234.8351
135,1505.294118
136,2960.981618
137,4310.486137
138,3253.931034
139,587.6428571
140,1975.162162
141,2670.088
142,2176
143,383.3947368
144,3953.842857
145,4920.30712
146,4486.732919
147,4920.30712
148,1145.210162
149,4505.514843
150,1499.891892
151,4653.421471
152,782.1666667
153,5901.569211
154,4920.30712
155,3584.772727
156,334.1396648
157,5353.007353
158,686.59375
159,1145.210162
160,2820.582524
161,1956.662162
162,5589.138943
163,1324.266667
164,2109.408163
165,6207.254453
166,5901.569211
167,2112.322581
168,2729.022727
169,2827.538462
170,2993.233333
171,2691.690574
172,697.53
173,3317.46789
174,6341.708713
175,3400.446581
176,647.527972
177,2809.947368
178,5674.617577
179,1145.210162
180,2960.981618
181,2650.282609
182,4310.486137
183,4505.514843
184,374.5569044
185,2786.16804
186,2042.922535
187,3358.111111
188,2593.222222
189,390.8831169
190,721
191,4653.421471
192,326.0529801
193,4565.215385
194,1636
195,2820.582524
196,3953.842857
197,4310.486137
198,5674.617577
199,5901.569211
200,2786.16804
201,835.6338028
202,4505.514843
203,4334.430622
204,2763
205,374.5569044
206,857.2133333
207,1242.215054
208,804.5625
209,5878.013514
210,5234.8351
211,767.4193548
212,2042.922535
213,686.59375
214,5674.617577
215,4653.421471
216,310.8885017
217,409.242268
218,363.8624788
219,6207.254453
220,4322.605678
221,374.5569044
222,4798.719858
223,915.2238806
224,5280.031532
225,4310.486137
226,4310.486137
227,5234.8351
228,2691.690574
229,4920.30712
230,2344.014599
231,6207.254453
232,1370.125
233,2977.57193
234,5234.8351
235,782.1666667
236,3400.446581
237,5234.8351
238,4128.361538
239,5674.617577
240,4505.514843
241,2977.57193
242,2786.16804
243,4058.598131
244,4505.514843
245,1453.983333
246,5901.569211
247,647.527972
248,5280.031532
249,1499.891892
250,385.8703704
251,3132.621212
252,4460.043478
